© 2000-2022 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
mir-101	 	microRNA	 	 	1.24E-02	6.74E-02	DUSP1,EZH2	 
F2RL3	 	G-protein coupled receptor	 	 	1.24E-02	6.74E-02	EGR1,FOS	 
PROKR1	 	G-protein coupled receptor	 	 	1.24E-02	6.74E-02	MYC,VIM	 
ELK3	 	transcription regulator	 	 	1.24E-02	6.74E-02	EGR1,FOS	 
NFAT5	 	transcription regulator	Inhibited	-2.333	1.24E-02	6.74E-02	DNA2,Hspa1b,IFI16,Irgm1,ITGB3,Ly6a (includes others),MCM6,RFC1,RFC2	 
INHA	 	growth factor	 	1.764	1.25E-02	6.80E-02	CCND2,CCNE1,CDKN1B,CYP51A1,E2F1,EPHX1,ESPL1,LMNA,MYC,PIK3IP1	 
TSC1	 	other	 	-1.569	1.25E-02	6.80E-02	ATP6V0B,BCL2,CTSB,CTSD,FOXO3,GNS,HEXA,MKI67,NPC2,PSAP	 
CAMK4	 	kinase	 	1.982	1.27E-02	6.80E-02	FOS,FOSB,JUN,JUNB	 
miR-16-5p (and other miRNAs w/seed AGCAGCA)	 	mature microRNA	 	0.000	1.27E-02	6.80E-02	BCL2,CCND2,CCNE1,FLT3	 
NUPR1	 	transcription regulator	 	1.000	1.27E-02	6.80E-02	CDK2,CDKN1B,FOXO3,VIM	 
ANXA7	 	ion channel	 	0.707	1.27E-02	6.80E-02	CCNB1,CTSB,Gstt1,MGST1,PML,RAD21,SLA,TFDP1	 
OSTM1	 	other	 	 	1.28E-02	6.80E-02	Acp5,BCL6,FOS	 
CSHL1	 	growth factor	 	 	1.28E-02	6.80E-02	CCND3,FOS,SOCS3	 
GATA1	 	transcription regulator	 	0.240	1.29E-02	6.86E-02	ALAS2,BACH2,CCND3,EGR1,EZH2,FOSB,HBA1/HBA2,HPSE,MYC,PECAM1	 
G protein alpha	 	group	 	0.333	1.34E-02	7.13E-02	APPBP2,CD274,DBI,FOS,GNAZ,NUCB1,PDIA4,SLC41A2,TSPAN31,TUBB6	 
Rxr	 	group	 	 	1.38E-02	7.22E-02	CTSB,CTSS,KDM6B,MYC,Neat1	 
ZC3H12C	 	other	Inhibited	-2.236	1.38E-02	7.22E-02	GBP2,GBP7,Igtp,Ly6a (includes others),Tgtp1/Tgtp2	 
PHF6	-1.399	transcription regulator	 	-1.342	1.38E-02	7.22E-02	AW112010,BTG2,JUN,Ptma (includes others),RAN	 
KITLG	 	growth factor	 	0.440	1.38E-02	7.22E-02	CCND3,EGR1,FOS,HCK,OSM	 
NR5A2	 	ligand-dependent nuclear receptor	 	0.691	1.44E-02	7.52E-02	CEBPB,CFP,FOS,GADD45G,GATM,Hspa1b,JUN,JUNB,SCARB1	 
PTN	 	growth factor	Inhibited	-2.236	1.44E-02	7.52E-02	ACAT2,HMGCR,HMGCS1,LIPC,LPIN2,NR4A1	 
MAPK14	 	kinase	Activated	2.488	1.50E-02	7.80E-02	BTG2,CYP51A1,DUSP1,FDPS,HMGCR,JUN,PECAM1,Slfn2,SOCS3,TXN	 
ALDH2	 	enzyme	Activated	2.000	1.51E-02	7.82E-02	MTHFD2,PSAT1,SHMT1,SHMT2	 
FBXW7	 	enzyme	 	0.254	1.51E-02	7.82E-02	BCL2,CDKN1B,JUN,MYC	 
VEGFA	 	growth factor	Activated	2.000	1.52E-02	7.82E-02	CTLA4,CTSB,CTSS,FOS,MKI67,NR4A1,PECAM1	 
MEF2A	 	transcription regulator	 	0.447	1.52E-02	7.82E-02	CD69,FOS,GBP2,JUN,KLF2,NOD1,NR4A1	 
TICAM1	 	other	 	1.480	1.52E-02	7.82E-02	CD38,DUSP1,EGR1,IFI16,Igtp,Irgm1,MCM2,MKI67,PDE4B,Plpp1	 
ZNF106	 	other	 	0.000	1.61E-02	8.19E-02	ALAS2,HBA1/HBA2,LGALS1,LGALS3,LYZ,SSPN	 
BAX	 	transporter	 	1.347	1.61E-02	8.19E-02	BCL2,CDKN1B,CTSB,CTSD,CTSS,HLA-A	 
CMKLR1	 	G-protein coupled receptor	 	 	1.64E-02	8.31E-02	CCNA2,CCNB2,CCND2	 
MYOG	 	transcription regulator	 	 	1.64E-02	8.31E-02	CCND3,IFI16,MYL4	 
MBTPS1	 	peptidase	 	 	1.64E-02	8.31E-02	FDFT1,FDPS,HMGCR	 
YAP1	 	transcription regulator	 	-0.699	1.69E-02	8.56E-02	CCR7,Chil3/Chil4,CYTIP,EGR1,FDPS,HMGCR,HMGCS1,Hmgn2 (includes others),LDHA,LMNA	 
PPARGC1A	 	transcription regulator	 	-1.902	1.75E-02	8.79E-02	CEBPB,CTSC,CYCS,FANCD2,FDPS,FOS,GADD45B,LDHA,LGALS9B,LIPA	 
TGFBR1	 	kinase	 	-1.134	1.77E-02	8.79E-02	AHR,BHLHE40,BIRC5,CCR1,CCR7,LTB,MYC,TLR7	 
NCSTN	 	peptidase	Inhibited	-2.219	1.78E-02	8.79E-02	CEBPB,CSF2RB,Ly6a (includes others),NCF1,NCF4	 
MYOD1	 	transcription regulator	 	0.000	1.78E-02	8.79E-02	CCND3,CDC6,DUSP1,IFI16,MYL4	 
SMAD2	 	transcription regulator	 	0.816	1.78E-02	8.79E-02	CKS1B,CYP51A1,FDFT1,HHEX,S1PR1,SKIL	 
HMGXB4	 	other	Activated	2.000	1.78E-02	8.79E-02	AHNAK,CD274,IER5,KLF6	 
NCOR2	 	transcription regulator	 	 	1.78E-02	8.79E-02	CTSB,CTSS,KLF2,NFAM1	 
Mt1	 	other	 	 	1.78E-02	8.79E-02	FOS,Gstt1,JUN,MYC	 
Mt2	 	other	 	 	1.78E-02	8.79E-02	FOS,Gstt1,JUN,MYC	 
SMARCA4	-2.043	transcription regulator	Activated	2.180	1.79E-02	8.79E-02	CCND2,CCR6,CDKN1B,GADD45B,GADD45G,H1-10,MYC,PIDD1,RAD21	 
TP73	 	transcription regulator	 	0.078	1.96E-02	9.59E-02	ALAS2,ANGPTL4,B2M,BCL2,Ccl6,CCR7,CD55,CNN3,CTSD,EGR1	 
Il3	 	cytokine	 	0.600	1.99E-02	9.64E-02	CCND2,CCND3,CDKN1B,FOS,Ly6a (includes others),LYZ,OSM	 
ZMIZ2	 	transcription regulator	 	 	1.99E-02	9.64E-02	JUN,MYC	 
sGC	 	complex	 	 	1.99E-02	9.64E-02	EGR1,FOS	 
ITGA6	 	transmembrane receptor	 	 	1.99E-02	9.64E-02	BCL2,BIRC5	 
GTF2I	 	transcription regulator	 	 	1.99E-02	9.64E-02	CDKN1B,MYC	 
MARCHF1	 	enzyme	 	 	1.99E-02	9.64E-02	CCR7,IRF4	 
TLR3	 	transmembrane receptor	Activated	2.612	2.02E-02	9.74E-02	CD274,CD69,DNMT1,DUSP1,GADD45B,GBP2,GLRX3,IFI16,JUNB,Marcks	 
KLF4	5.015	transcription regulator	 	0.933	2.05E-02	9.85E-02	CCND2,CDKN1B,Chil3/Chil4,KLF4,PLAUR,PREP,SCARB1,SHISA5,SLPI	 
LRAT	 	enzyme	 	 	2.06E-02	9.85E-02	CCNA2,CCNB1,CCNE1	 
INSR	 	kinase	 	-1.955	2.08E-02	9.85E-02	ATP5MC3,CCND2,CDKN2C,CYCS,CYP51A1,DEK,FDFT1,FDPS,FH,Foxn3	 
SEMA7A	 	transmembrane receptor	 	1.000	2.08E-02	9.85E-02	CCNA2,CTSB,CTSS,EGR1	 
LCAT	 	enzyme	 	0.000	2.08E-02	9.85E-02	APOE,HMGCR,MYC,SCARB1	 
CCR1	4.900	G-protein coupled receptor	 	1.000	2.08E-02	9.85E-02	Acp5,CTSS,FOS,ITGB3	 
COP1	 	enzyme	 	-1.982	2.08E-02	9.85E-02	APOE,CD69,CEBPB,IFI16	 
NCOA5	 	other	 	-0.447	2.17E-02	1.03E-01	ALDH1B1,ANGPTL4,GADD45G,JCHAIN,MYBL1,NR4A1	 
mir-802	 	microRNA	 	-0.898	2.19E-02	1.03E-01	ARHGAP24,ARHGEF3,CDH17,GNG12,ITGB3,MGST1,MYL12A,MYL4,PFN2,RAN	 
SMARCB1	 	transcription regulator	 	 	2.19E-02	1.03E-01	BTG1,CCNE1,CDC6,MCM3,MYBL2,PGLYRP1,PRIM1,SKP2,SYCE2	 
MBTD1	 	other	 	0.156	2.26E-02	1.06E-01	ARHGEF18,Ear2 (includes others),HBA1/HBA2,Pitpnc1,ZMYND11	 
PRKCB	 	kinase	Activated	2.200	2.26E-02	1.06E-01	Acp5,EGR1,FOS,FOXO3,PRKCD	 
KAT6A	 	enzyme	Inhibited	-2.813	2.38E-02	1.11E-01	CDC6,CDCA2,CDCA8,CDKN2C,EZH2,MELK,NSD2,SKP2	 
HIF1A	 	transcription regulator	 	1.106	2.39E-02	1.11E-01	ADM,ATP5MC3,BCL2,BNIP3L,CCR7,CD274,CD69,CDKN1B,IFI16,ITGB3	 
JAK2	 	kinase	 	 	2.39E-02	1.11E-01	JCHAIN,NR4A1,PLK2,SDC4,SKIL,SOCS3	 
LPIN1	 	phosphatase	 	-0.762	2.41E-02	1.11E-01	APOE,FDPS,HMGCR,LPIN2	 
BCL2L11	 	other	 	0.152	2.41E-02	1.11E-01	ADRB2,BCL2,CD274,NOD1	 
DMD	 	other	 	 	2.48E-02	1.14E-01	BTG2,CENPM,Cmah,CTSS,GATM,GMPR,LGALS8,LYZ,MLF1,MYL4	 
CD44	 	other	Activated	2.608	2.53E-02	1.15E-01	BIRC5,CCND2,CCR7,HMMR,JUN,LGALS1,LGALS3,Ly6a (includes others),LY6D,SDC4	 
PLP1	 	other	 	 	2.53E-02	1.15E-01	CCR6,CDKN1B,PPP1R15A	 
INSIG2	 	other	 	 	2.53E-02	1.15E-01	FDFT1,FDPS,HMGCR	 
WAS	 	other	 	 	2.53E-02	1.15E-01	CCR6,CD69,SELPLG	 
SH3BP2	 	other	 	 	2.53E-02	1.15E-01	Acp5,FOS,ITGB3	 
Jnk	 	group	 	1.628	2.54E-02	1.15E-01	CCNE1,DUSP1,EGR1,FOS,JUN,KLF6,SOCS3	 
ADORA2A	4.738	G-protein coupled receptor	 	-0.632	2.54E-02	1.15E-01	ATP6AP1,ATP8A1,DSTN,DUSP1,FOS,HBA1/HBA2,NR4A1,PGAM1,PLA2G12A,TSC22D3	 
EGR1	2.892	transcription regulator	 	0.378	2.56E-02	1.16E-01	CCND2,CDC20,JUN,JUNB,LYZ,MYBL1,MYC,SQLE	 
RORC	 	ligand-dependent nuclear receptor	 	1.501	2.67E-02	1.20E-01	ASNS,CCNB1,CCR6,FDFT1,GADD45B,HMGCR,IDH2,LDHA,LPIN2,MYC	 
ATF3	 	transcription regulator	 	0.776	2.81E-02	1.24E-01	CCNE1,CD69,GBP2,JUN,PPP1R15A	 
E2F3	 	transcription regulator	 	 	2.81E-02	1.24E-01	CCNB2,CDC6,E2F1,MYBL2,RBL1	 
FOLR1	 	transporter	 	 	2.83E-02	1.24E-01	ADA,BASP1,CENPK,GBA,LYZ,PDCD4,SHCBP1,TPI1,UCHL5	 
STAT5a/b	 	group	 	1.934	2.86E-02	1.24E-01	BCL2,BCL6,Chil3/Chil4,DUSP1,GNAZ,SOCS3	 
STEAP3	 	transporter	 	-0.816	2.86E-02	1.24E-01	ADORA2A,CEBPB,ITGB3,RGCC,S100A10,S1PR1	 
CYP3A	 	group	 	 	2.90E-02	1.24E-01	HMGCS1,SQLE	 
SCGB3A2	 	other	 	 	2.90E-02	1.24E-01	CTSD,CTSS	 
HSD17B12	 	enzyme	 	 	2.90E-02	1.24E-01	AURKA,CDC20	 
NSD2	-2.334	enzyme	 	 	2.90E-02	1.24E-01	FOS,JUN	 
F2R	 	G-protein coupled receptor	 	 	2.90E-02	1.24E-01	EGR1,FOS	 
LOXL2	 	enzyme	 	 	2.90E-02	1.24E-01	PECAM1,VIM	 
ZIC2	 	transcription regulator	 	 	2.90E-02	1.24E-01	APOE,CDKN1B	 
miR-483-3p (miRNAs w/seed CACUCCU)	 	mature microRNA	 	 	2.90E-02	1.24E-01	MKI67,SOCS3	 
JARID2	 	transcription regulator	 	 	2.90E-02	1.24E-01	CCND2,CCNE1	 
HAS2	 	enzyme	 	 	2.90E-02	1.24E-01	DNAJB1,HSPA1A/HSPA1B	 
IGFBP1	 	other	 	 	2.90E-02	1.24E-01	BCL2,CEBPB	 
MAT2A	 	enzyme	 	 	2.90E-02	1.24E-01	Acp5,FOS	 
NPC1L1	 	transporter	 	 	2.90E-02	1.24E-01	HMGCR,HMGCS1	 
CDH5	 	other	 	 	2.90E-02	1.24E-01	BCL2,BIRC5	 
CD5	 	transmembrane receptor	 	 	2.90E-02	1.24E-01	CD69,NR4A1	 
H4C3	 	other	 	 	2.90E-02	1.24E-01	FOSB,HBE1	 
Muc4	 	other	 	 	2.90E-02	1.24E-01	LYZ,SLPI	 
ADD2	 	other	 	 	2.90E-02	1.24E-01	ADD1,PRKCD	 
YAP/TAZ	 	group	 	 	2.90E-02	1.24E-01	CD274,HSPA1A/HSPA1B	 
EPAS1	 	transcription regulator	 	-0.128	2.94E-02	1.25E-01	BCL2,CEBPB,CTLA4,CYP51A1,FXN,HMGCS1,IFNGR2,ITGB3	 
HIPK2	 	kinase	 	1.134	2.96E-02	1.26E-01	ALAS2,CCND2,CDKN1B,EGR1,HBA1/HBA2,HBE1,PECAM1	 
Ttc39aos1	 	other	Inhibited	-2.640	2.96E-02	1.26E-01	Apol9a/Apol9b,GBP2,IFI16,Ifi27,Igtp,Ly6a (includes others),LY6E	 
NR1I3	 	ligand-dependent nuclear receptor	 	-1.539	3.01E-02	1.27E-01	AHR,ENKD1,EPHX1,GADD45B,Gstt1,MYC,PSMB7,RPA2,SLC29A1	 
PGF	 	growth factor	 	 	3.06E-02	1.28E-01	ANGPTL4,EGR1,FOSB	 
CD70	 	cytokine	 	 	3.06E-02	1.28E-01	CD1D,CD69,SELL	 
MVP	 	other	 	 	3.06E-02	1.28E-01	Acp5,FOS,JUN	 
CYP51A1	-1.271	enzyme	 	 	3.06E-02	1.28E-01	HMGCR,MSMO1,SQLE	 
MAF	 	transcription regulator	Inhibited	-2.213	3.11E-02	1.30E-01	CYP51A1,FDFT1,HMGCR,IDI1,SQLE	 
ABCA1	 	transporter	 	1.327	3.12E-02	1.30E-01	ABCG1,APOE,CYP51A1,FDFT1,HMGCR,SCARB1	 
IL11RA	 	transmembrane receptor	 	 	3.12E-02	1.30E-01	Ccl6,CCNE1,FOS,JUNB,MYC,SOCS3	 
mir-182	 	microRNA	Activated	2.000	3.15E-02	1.30E-01	Chil3/Chil4,IRF4,KLF4,SOCS3	 
SLC9A3	 	ion channel	 	 	3.15E-02	1.30E-01	B2M,Igha,Igtp,Tgtp1/Tgtp2	 
RHOA	 	enzyme	 	-1.000	3.15E-02	1.30E-01	CTLA4,FOS,RHOB,TNFRSF18	 
PTGER4	3.481	G-protein coupled receptor	 	-1.900	3.18E-02	1.31E-01	CD69,GBP2,IFI16,Igtp,Irgm1,MASTL,NCF1,PDCD4,S1PR1,TAGAP	 
MYCL	 	transcription regulator	Inhibited	-2.828	3.35E-02	1.38E-01	BUB3,CDC20,NUDT21,SNRPA1,SNRPD1,TOP1,UCK2,YARS1	 
INPP5D	 	phosphatase	 	-0.751	3.44E-02	1.41E-01	CCND2,CCND3,CD69,CDKN1B,Chil3/Chil4	 
PNPT1	 	enzyme	Inhibited	-2.200	3.44E-02	1.41E-01	Apol9a/Apol9b,GBP2,IFI16,Irgm1,Tgtp1/Tgtp2	 
JUN	2.776	transcription regulator	 	0.447	3.45E-02	1.41E-01	APOE,BIRC5,CFP,HNRNPA2B1,IFI16,IRAK3,JUN,MYC,SF3B3,SOCS3	 
NOS2	 	enzyme	Activated	2.891	3.49E-02	1.42E-01	BCL2,Chil3/Chil4,CTSC,CYCS,HMGB2,KLF6,MCM5,PCNA,PLSCR1,STXBP1	 
TCF7L1	 	transcription regulator	 	-1.982	3.56E-02	1.45E-01	CCND2,JUN,KLF4,PYCR2	 
LATS2	 	kinase	Inhibited	-2.000	3.56E-02	1.45E-01	AURKB,CCNB1,E2F1,PLK1	 
VCP	 	enzyme	 	 	3.64E-02	1.47E-01	LMNA,LMNB1,TMPO	 
CBX3	 	transcription regulator	 	 	3.64E-02	1.47E-01	CDK1,E2F1,PLK1	 
POU2F2	 	transcription regulator	 	 	3.64E-02	1.47E-01	ADA,BCL6,LY6E	 
NRAS	 	enzyme	Inhibited	-2.975	3.74E-02	1.51E-01	ANXA4,B2M,EPHX1,GBP2,HLA-A,IFI16,Ifi27,Irgm1,SKP2,Tgtp1/Tgtp2	 
SCD	 	enzyme	 	0.000	3.75E-02	1.51E-01	AGPAT2,ANGPTL4,BCL2,CEBPB,EGR1,FADS2,FOS,HMGCR,HMGCS1,JUN	 
PRKCD	-1.359	kinase	 	1.172	3.78E-02	1.52E-01	BCL2,CCNA2,CCNE1,CEBPB,JCHAIN	 
SIGLEC8	 	transmembrane receptor	Inhibited	-2.236	3.78E-02	1.52E-01	NHP2,RANBP1,RGS10,RPS27L,TPI1	 
MYD88	 	other	Activated	2.253	3.88E-02	1.54E-01	CD274,CD38,DUSP1,Ear2 (includes others),EGR1,HLA-A,IRAK2,IRAK3,KDM6B,MCM2	 
Nos	 	group	 	 	3.94E-02	1.54E-01	EGR1,FOS	 
PDCD10	 	other	 	 	3.94E-02	1.54E-01	KLF2,KLF4	 
AMBRA1	 	other	 	 	3.94E-02	1.54E-01	CCND2,ITGB7	 
APOA4	 	transporter	 	 	3.94E-02	1.54E-01	FOS,SCARB1	 
PDE6B	 	enzyme	 	 	3.94E-02	1.54E-01	FOS,RIPK3	 
miR-17-5p (and other miRNAs w/seed AAAGUGC)	 	mature microRNA	 	 	3.94E-02	1.54E-01	CCND2,CCNE1	 
miR-92a-3p (and other miRNAs w/seed AUUGCAC)	 	mature microRNA	 	 	3.94E-02	1.54E-01	CCND2,CCNE1	 
PLIN2	 	other	 	 	3.94E-02	1.54E-01	ABCG1,APOE	 
AFP	 	transporter	 	 	3.94E-02	1.54E-01	EGR1,FOS	 
DBI	-2.091	other	 	 	3.94E-02	1.54E-01	HMGCR,SQLE	 
NLRC5	 	transcription regulator	 	 	3.94E-02	1.54E-01	B2M,HLA-A	 
PRKAA2	 	kinase	 	-1.331	3.94E-02	1.54E-01	BCL2,CCND3,E2F1,FOXO3,LDHA,Ly6a (includes others),MGST1,NCF1,SOCS3,VIM	 
EIF2AK4	 	kinase	 	-1.091	4.01E-02	1.56E-01	ASNS,BCL2,CCND3,PSAT1	 
TFE3	 	transcription regulator	 	 	4.01E-02	1.56E-01	CCNE1,CYCS,KLF2,POLA2	 
IDH1	 	enzyme	 	 	4.15E-02	1.57E-01	ABCG1,APOE,BCAT1,HMGCR,PPP1R15A	 
VAV1	 	transcription regulator	 	 	4.27E-02	1.57E-01	BCL2,CCND2,CDKN1B	 
RETN	 	other	 	 	4.27E-02	1.57E-01	MKI67,MYC,SOCS3	 
BID	 	other	 	 	4.27E-02	1.57E-01	CTSB,CTSD,CTSS	 
PCGF2	 	transcription regulator	 	 	4.27E-02	1.57E-01	CCND2,CCNE1,MYC	 
KLF2	5.059	transcription regulator	 	0.507	4.54E-02	1.57E-01	HBE1,ITGB7,NOTCH2,S1PR1,SELL	 
EGR2	 	transcription regulator	 	0.284	4.54E-02	1.57E-01	BCL2,BCL6,BHLHE40,DGKA,MYC	 
ITK	 	kinase	Activated	2.121	4.55E-02	1.57E-01	AHR,BAD,HLA-A,IL10RA,Ly6a (includes others),MYC,Serpina3g (includes others),SLAMF7	 
IFN alpha/beta	 	group	 	1.706	4.63E-02	1.57E-01	HLA-A,IFI16,Ly6a (includes others),LY6E,SLPI,TLR7	 
RGS10	-3.167	enzyme	 	 	4.63E-02	1.57E-01	BCL6,CCR1,CCR6,Chil3/Chil4,IL10RA,IL10RB	 
CDK4/6	 	group	 	 	4.69E-02	1.57E-01	E2F8	 
ATM/ATR	 	group	 	 	4.69E-02	1.57E-01	RRM2	 
voltage-gated calcium channel	 	complex	 	 	4.69E-02	1.57E-01	CCND2	 
Mlcp	 	complex	 	 	4.69E-02	1.57E-01	NR4A1	 
Ikb	 	group	 	 	4.69E-02	1.57E-01	NR4A1	 
PLC	 	group	 	 	4.69E-02	1.57E-01	MYC	 
ABCA12	 	transporter	 	 	4.69E-02	1.57E-01	GBA	 
FBXO11	 	enzyme	 	 	4.69E-02	1.57E-01	BCL6	 
PCOLCE2	 	other	 	 	4.69E-02	1.57E-01	SCARB1	 
NOC3L	 	other	 	 	4.69E-02	1.57E-01	CCNE1	 
PHF8	 	enzyme	 	 	4.69E-02	1.57E-01	IRAK3	 
CLPX	 	enzyme	 	 	4.69E-02	1.57E-01	ALAS2	 
TRIB2	 	kinase	 	 	4.69E-02	1.57E-01	CEBPB	 
Ctf2	 	cytokine	 	 	4.69E-02	1.57E-01	SOCS3	 
SLC17A6	 	transporter	 	 	4.69E-02	1.57E-01	NR4A1	 
EFHD2	 	other	 	 	4.69E-02	1.57E-01	IFNGR2	 
ADH5	 	enzyme	 	 	4.69E-02	1.57E-01	LGALS3	 
ASH1L	 	transcription regulator	 	 	4.69E-02	1.57E-01	IRAK3	 
FGF14	 	growth factor	 	 	4.69E-02	1.57E-01	FOS	 
RGS9BP	 	other	 	 	4.69E-02	1.57E-01	RGS9	 
Raet1a	 	other	 	 	4.69E-02	1.57E-01	HLA-A	 
POU6F1	 	transcription regulator	 	 	4.69E-02	1.57E-01	TMEM59	 
Scf skp2	 	complex	 	 	4.69E-02	1.57E-01	CDKN1B	 
Raet1b	 	other	 	 	4.69E-02	1.57E-01	HLA-A	 
DGKD	 	kinase	 	 	4.69E-02	1.57E-01	CCNB1	 
TFB1M	 	transcription regulator	 	 	4.69E-02	1.57E-01	E2F1	 
RBMS1	 	other	 	 	4.69E-02	1.57E-01	MYC	 
NTF4	 	growth factor	 	 	4.69E-02	1.57E-01	FOS	 
INSL3	 	growth factor	 	 	4.69E-02	1.57E-01	NUCB2	 
PTP4A3	 	phosphatase	 	 	4.69E-02	1.57E-01	MYC	 
CCNB1	-5.460	kinase	 	 	4.69E-02	1.57E-01	CCNB2	 
BPTF	-1.372	transcription regulator	 	 	4.69E-02	1.57E-01	MYC	 
DAB2IP	 	other	 	 	4.69E-02	1.57E-01	VIM	 
H60a	 	other	 	 	4.69E-02	1.57E-01	HLA-A	 
SOS2	 	other	 	 	4.69E-02	1.57E-01	SELL	 
SMARCA1	 	transcription regulator	 	 	4.69E-02	1.57E-01	MYC	 
NPVF	 	other	 	 	4.69E-02	1.57E-01	FOS	 
PIM	 	group	 	 	4.69E-02	1.57E-01	CDKN1B	 
Raet1d/Raet1e	 	other	 	 	4.69E-02	1.57E-01	HLA-A	 
HUNK	 	kinase	 	 	4.69E-02	1.57E-01	MYC	 
XRCC5	 	enzyme	 	 	4.69E-02	1.57E-01	APOE	 
SCN1B	 	ion channel	 	 	4.69E-02	1.57E-01	FOS	 
RUVBL2	-1.957	transcription regulator	 	 	4.69E-02	1.57E-01	CDKN2C	 
AATF	 	transcription regulator	 	 	4.69E-02	1.57E-01	JUN	 
PSAP	3.352	other	 	 	4.69E-02	1.57E-01	GBA	 
ITGB4	 	transmembrane receptor	 	 	4.69E-02	1.57E-01	BIRC5	 
KCTD11	 	other	 	 	4.69E-02	1.57E-01	CDKN1B	 
AHNAK	3.754	other	 	 	4.69E-02	1.57E-01	MYC	 
NOX3	 	enzyme	 	 	4.69E-02	1.57E-01	Havcr1	 
SCN7A	 	ion channel	 	 	4.69E-02	1.57E-01	FOS	 
RNF7	 	enzyme	 	 	4.69E-02	1.57E-01	JUN	 
DNAJA3	 	other	 	 	4.69E-02	1.57E-01	BCL2	 
DYNLL1	 	other	 	 	4.69E-02	1.57E-01	CCNE1	 
SOS1	 	other	 	 	4.69E-02	1.57E-01	SELL	 
POU4F3	 	transcription regulator	 	 	4.69E-02	1.57E-01	FOS	 
FAIM	 	other	 	 	4.69E-02	1.57E-01	NR4A1	 
CDC20	-5.550	other	 	 	4.69E-02	1.57E-01	CCNB1	 
BTG1	2.667	transcription regulator	 	 	4.69E-02	1.57E-01	JUN	 
MMP1	 	peptidase	 	 	4.69E-02	1.57E-01	Chil3/Chil4	 
SLC9A3R2	 	transporter	 	 	4.69E-02	1.57E-01	SCARB1	 
IL16	 	cytokine	 	 	4.69E-02	1.57E-01	SKP2	 
Ewsr1	 	other	 	 	4.69E-02	1.57E-01	LMNA	 
ILF2	 	transcription regulator	 	 	4.69E-02	1.57E-01	FOS	 
CXXC4	 	other	 	 	4.69E-02	1.57E-01	TET2	 
ULBP1	 	transmembrane receptor	 	 	4.69E-02	1.57E-01	HLA-A	 
WTAP	 	other	 	 	4.69E-02	1.57E-01	CCNA2	 
Hotairm1	 	other	 	 	4.69E-02	1.57E-01	CD274	 
IL12 (complex)	 	complex	 	 	4.81E-02	1.61E-01	CCR6,GADD45G,IRF4,LTB,Ly6a (includes others),PLAC8,Tgtp1/Tgtp2	 
KMT2A	 	transcription regulator	 	0.342	4.81E-02	1.61E-01	BCL2,BCL6,CDKN1B,CDKN2C,EGR1,KLF6,MYC	 
NR1H2	 	ligand-dependent nuclear receptor	 	0.589	4.82E-02	1.61E-01	ABCG1,APOE,CCR7,CD38,Chil3/Chil4,FDFT1,FDPS,HMGCR	 
CSF3	 	cytokine	 	 	4.95E-02	1.65E-01	CDKN1B,Ly6a (includes others),LYZ	 
IRF6	 	transcription regulator	 	 	4.95E-02	1.65E-01	CD69,Chil3/Chil4,SCARB1	 
EIF2AK2	 	kinase	 	0.577	4.99E-02	1.65E-01	BIRC5,Hspa1b,MYC,PPP1R15A	 
LCN2	 	transporter	 	-1.890	5.12E-02	1.66E-01	CAPG,Ccl6,CCR1,Chil3/Chil4,CKAP2,KIF11,KIF23	 
PPP3R1	 	phosphatase	 	1.951	5.52E-02	1.78E-01	ADRB2,CCND2,LYZ,SFTPC	 
RXRA	 	ligand-dependent nuclear receptor	 	-1.890	6.37E-02	1.99E-01	AHCY,ASNS,Ccl6,CCNA2,CCNB1,CCND3,CTSB,CTSS,LYZ	 
RHO	 	G-protein coupled receptor	Inhibited	-2.449	6.53E-02	2.02E-01	B2M,Cbr2,CEBPB,CTSS,HMGB2,S100A6	 
ICOS	 	transmembrane receptor	Inhibited	-2.000	6.68E-02	2.06E-01	CD69,CTLA4,KLF2,MKI67	 
IGF1R	 	transmembrane receptor	 	-1.982	6.85E-02	2.11E-01	ADRB2,ATP5MC3,BCL2,CAPG,CD38,CDK1,CKS2,CYCS,KIF20A,RACGAP1	 
NFKB2	 	transcription regulator	Activated	2.132	6.99E-02	2.15E-01	BCL2,CCR7,CTSS,GPR183,Gstt1,Gvin1 (includes others),HLA-DOA,SELL,Serpina3g (includes others)	 
CLU	 	other	Inhibited	-2.000	7.30E-02	2.22E-01	CCND2,GBP7,HSPA1A/HSPA1B,Hspa1b	 
Ifnar	 	group	Activated	2.756	8.48E-02	2.36E-01	B2M,CD274,GBP2,HLA-A,IFI16,Irgm1,PDCD1LG2,TAPBP	 
Firre	 	other	 	-1.890	8.94E-02	2.36E-01	CCDC88B,CCND3,CHTF18,HMGA1,MBD3,POLD1,SUV39H1	 
CD40	 	transmembrane receptor	 	1.969	9.86E-02	2.52E-01	BCL2,CCND2,CD69,CTLA4,LGALS3,MYC,SELL	 
IRF1	 	transcription regulator	Activated	2.219	1.09E-01	2.70E-01	BCL2,GBP2,LTB,MYC,PML,SELL	 
ATG5	 	other	 	-1.982	1.16E-01	2.82E-01	CKAP4,HLA-A,PECAM1,SCARB1	 
